ID,Phys1A,pre.fmce,final.Exam,Percentile
222,1,23,74,99
223,0,27,31,99
224,0,43,56,99
225,0,45,91,99
226,0,46,86,99
227,0,36,95,100
228,0,31,68,100
229,0,45,83,100
230,0,47,80,100
231,0,13,63,100
232,0,44,95,100
233,0,40,86,100
234,0,32,83,100
235,0,34,69,100
236,0,39,77,100
237,0,44,89,100
238,0,39,63,100
239,0,34,92,100
240,0,16,76,100
241,0,25,87,100
242,0,22,80,100
243,0,13,82,100
244,0,34,77,100
245,0,39,85,100
246,0,NA,29,100
247,1,28,74,100
248,0,11,81,100
249,0,31,90,100
250,0,42,98,100
251,0,9,46,100
252,0,42,92,100
253,0,NA,70,100
254,1,NA,90,100
255,0,NA,72,100
256,0,NA,68,100
257,0,18,82,100
258,0,41,42,100
259,0,14,57,100
260,0,27,77,100
261,0,47,83,100
262,0,22,62,100
263,1,7,63,100
264,0,5,47,100
265,0,43,85,100
266,1,15,69,100
267,0,14,44,100
268,0,35,69,100
269,1,17,74,100
270,0,35,68,100
271,0,46,98,100
272,0,36,81,100
273,0,28,74,100
274,0,30,81,100
275,0,47,88,100
276,1,19,64,100
277,0,34,90,100
278,0,NA,94,100
279,0,NA,91,100
280,0,20,67,100
281,0,17,75,100
282,0,29,92,100
283,0,23,78,100
284,0,38,88,100
285,0,31,86,100
286,0,11,86,100
287,0,28,73,100
288,0,25,85,100
289,0,NA,56,100
290,0,13,73,100
291,0,30,79,100
292,0,35,83,100
293,0,31,96,100
294,0,44,81,100
295,1,17,73,100
296,0,44,66,100
297,0,17,83,100
298,0,40,77,100
299,0,39,81,100
300,0,33,64,100
301,0,45,85,100
302,0,45,91,100
303,1,42,78,100
304,0,21,77,100
305,0,40,68,100
306,0,24,69,100
307,0,40,73,100
308,0,45,74,100
309,0,27,82,100
310,0,42,98,100
311,0,23,80,100
312,0,38,71,100
313,0,44,90,100
314,1,37,80,100
315,0,22,61,100
316,0,28,61,100
317,0,46,91,100
318,1,8,69,100
319,0,46,96,100
320,0,24,90,100
321,0,32,74,100
322,0,9,64,100
323,0,47,84,100
324,0,37,92,100
325,0,42,96,100
326,0,19,58,100
327,0,45,96,100
328,0,45,75,100
329,0,20,95,100
330,0,39,84,100
331,0,46,80,100
332,0,45,79,100
333,0,35,93,100
334,0,24,73,100
335,0,37,82,100
336,0,34,100,100
337,0,NA,80,100
338,0,NA,79.5,100
339,0,NA,57,100
340,0,NA,95,100
341,0,NA,81.5,100
342,0,37,91,100
343,0,44,66,100
344,0,15,94,100
345,0,25,91,100
346,0,26,73,100
347,0,29,88,100
348,0,45,97,100
349,0,9,67,100
350,0,34,90,100
351,0,12,77,100
352,0,20,77,100
353,0,47,96,100
354,0,47,83,100
355,0,19,80,100
356,0,22,64,100
357,0,34,93,100
358,0,21,90,100
359,0,47,96,100
360,0,39,81,100
361,0,46,95.5,100
362,0,47,90,100
363,0,33,79,100
364,0,46,76,100
365,0,30,90,100
366,0,39,61,100
367,0,16,83,100
368,0,11,73,100
369,0,36,74,100
370,0,18,92,100
371,0,11,72,NA
372,0,34,71,NA
373,0,22,59,NA
374,0,45,96,NA
375,1,15,57,NA
376,0,39,82,NA
377,0,10,80,NA
378,0,15,75,NA
379,0,25,77,NA
380,0,21,82,NA
381,0,43,89,NA
382,0,17,43,NA
383,0,7,60,NA
384,0,12,53,NA
385,0,24,78,NA
386,0,26,80,NA
387,1,20,63,NA
388,0,17,88,NA
389,1,12,70,NA
390,0,21,68,NA
391,0,12,59,NA
392,0,45,77,NA
393,0,11,66,NA
394,0,34,62,NA
395,0,22,74,NA
396,0,45,69,NA
397,1,16,69,NA
398,0,32,85,NA
399,0,18,57,NA
400,0,10,62,NA
401,1,27,79,NA
402,1,43,76,NA
403,0,20,80,NA
404,0,47,79,NA
405,0,38,72,NA
406,0,40,88,NA
407,0,29,75,NA
408,0,0,96,NA
409,0,6,75,NA
410,1,18,53,NA
411,0,25,70,NA
412,0,33,55,NA
413,0,17,83,NA
414,0,35,63,NA
415,0,37,100,NA
416,0,6,34,NA
417,0,26,78,NA
418,0,8,27,NA
419,0,14,68.5,NA
420,0,28,76,NA
421,0,30,70,NA
422,0,NA,86,NA
423,0,NA,57,NA
424,0,NA,89,NA
425,0,NA,63,NA
426,0,NA,62,NA
427,0,NA,85,NA
428,0,NA,76,NA
429,1,9,31,NA
430,0,18,61,NA
431,0,18,51,NA
432,0,18,65,NA
433,0,34,79,NA
434,0,39,80,NA
435,1,22,71,NA
436,1,22,63,NA
437,1,11,83,NA
438,0,45,70,NA
439,0,35,78,NA
440,0,24,70,NA
441,0,42,80,NA
442,0,28,89,NA
443,1,20,76,NA
444,0,43,62,NA
445,0,10,45,NA
446,0,19,58,NA
447,0,34,70,NA
448,0,20,46,NA
449,0,36,73,NA
450,0,13,89,NA
451,0,12,54,NA
452,0,44,70,NA
453,0,8,28,NA
454,0,33,68,NA
455,0,21,55,NA
456,0,14,24,NA
457,0,47,81,NA
458,0,8,51,NA
459,0,13,30,NA
460,0,37,72,NA
461,0,12,65,NA
462,0,19,81,NA
463,1,17,84,NA
464,1,20,83,NA
465,0,29,82,NA
